d,Dc,DHm,Sid,Phase_inshort
5.15,0.14,-3.97,14.87,SS
5.39,0.14,-5.11,14.9,SS
4.96,0.14,-1.74,14.74,SS
5.08,0.14,-3.31,14.74,SS
5.05,0.15,-4.23,14.74,SS
4.87,0.13,2.5,11.53,SS
4.91,0.12,-6.33,14.5,SS
4.17,0.11,-1.52,14.7,SS
5.18,0.12,-10.57,13.31,SS
4.92,0.12,-3.61,14.87,SS
5.28,0.12,-4.78,14.9,SS
6.26,0.13,-8.65,14.53,SS
5.78,0.12,-12.32,13.38,SS
5.52,0.13,-6.56,13.38,SS
6.48,0.13,-9.78,14.21,SS
6.57,0.13,-10.28,14.01,SS
5.64,0.12,-9.94,14.34,SS
5.17,0.12,-8.47,14.32,SS
7.47,0.11,-1.28,11.08,SS
2.31,0.36,-6.5,11.53,SS
4.99,0.12,2.72,13.38,SS
1.27,0.01,4,5.76,SS
0.3,0.1,-3.75,11.53,SS
1.03,0.09,3.2,13.38,SS
3.15,0.14,4.16,13.38,SS
4.14,0.11,-12.34,12.07,SS
5.06,0.12,-15.91,12.48,SS
5.48,0.12,-17.85,12.6,SS
9.54,0.21,-20.16,16.18,SS
9.34,0.19,-31.33,14.9,SS
5.63,0.12,-4,13.38,SS
4.92,0.12,-3.61,14.87,SS
5.62,0.14,-3.55,14.22,SS
5.61,0.15,-3.35,14.43,SS
5.6,0.16,-3.16,14.59,SS
5.58,0.16,-2.98,14.7,SS
4.99,0.12,2.72,13.38,SS
2.54,0.25,-15.25,11.53,SS
2.55,0.27,-15.5,11.53,SS
0.16,0.11,-4.89,9.13,SS
17.32,0.5,-56.48,13.38,SS
3.15,0.34,-4.64,13.38,SS
0.3,0.1,-3.75,11.53,SS
5.91,0.25,-13.75,11.53,SS
0.17,0.1,-4.13,9,SS
4.65,0.11,-8.03,11.76,SS
6.52,0.13,-16.45,11.54,SS
3.27,0.14,-4.16,13.38,SS
7.22,0.14,-21.56,14.9,SS
6.61,0.12,-27.33,14.9,SS
5.58,0.12,-2.56,13.38,SS
7.09,0.14,-20.05,14.78,SS
2,0.12,-4.04,12.57,SS
6.68,0.14,-16.32,13.38,IM
5.49,0.14,-12,14.9,IM
6.29,0.15,-13.44,14.9,IM
5.5,0.15,-8.13,17.29,IM
7.24,0.15,-14.04,14.53,IM
10.95,0.16,-14.88,13.38,IM
11.49,0.2,-24.89,14.9,IM
5.7,0.13,-6.75,14.87,IM
6.12,0.14,-8.44,14.9,IM
6.76,0.14,-12.89,15.97,IM
6.94,0.15,-14.02,15.91,IM
7.09,0.15,-15,15.82,IM
7.21,0.15,-15.86,15.72,IM
7.31,0.15,-16.6,15.6,IM
4.09,0.12,-4.07,15.93,IM
4.06,0.12,-4.71,16,IM
4.04,0.12,-5.25,16.01,IM
9.43,0.24,-34.11,14.9,IM
7.5,0.15,-23.91,14.79,IM
4.8,0.11,-21.5,11.53,IM
5.58,0.21,-2.68,9.92,IM
5.54,0.23,-3.08,10.84,IM
10.94,0.27,-8.95,11.64,IM
5.43,0.23,-2.72,9.12,IM
5.35,0.24,-3.15,9.15,IM
4.71,0.23,-2.13,8.85,IM
6.49,0.16,-2.7,8.34,IM
6.27,0.16,-2.52,8.06,IM
6.04,0.15,-2.34,7.77,IM
4.81,0.12,-1.48,5.65,IM
16.72,0.14,-30.98,14.22,IM
15.84,0.13,-30.75,14.87,IM
4.42,0.05,-16.51,12.2,IM
4.96,0.07,-16.83,12.71,IM
5.6,0.09,-17.19,13.15,IM
6.34,0.11,-17.44,13.38,IM
6.71,0.12,-17.32,13.25,IM
7.18,0.17,-23.05,11.12,IM
7.17,0.17,-22.48,11.18,IM
7.16,0.17,-21.88,11.21,IM
9.05,0.27,-5.78,13.6,IM
13.14,0.28,-15.34,14.17,IM
18.08,0.3,-29.71,14.54,IM
19.81,0.3,-35.1,14.55,IM
7.46,0.15,-26.4,13.38,IM
8.51,0.12,-10.08,12.71,IM
6.81,0.09,-16.61,14.43,IM
6.97,0.25,-2.2,14.17,IM
6.24,0.22,-12.77,13.01,IM
8.13,0.17,-6.4,13.38,IM
5.89,0.33,-6.08,13.38,IM
7.38,0.28,-3.35,12.89,IM
3.33,0.16,-0.96,5.8,IM
3.54,0.17,-0.28,5.8,IM
6.29,0.11,-12.07,12.71,IM
6.37,0.1,-14.8,12.14,IM
6.65,0.1,-17.98,13.25,IM
6.53,0.1,-19,12.98,IM
19.02,0.06,-15.36,4.16,IM
3.97,0.09,-21.55,11.24,IM
5.16,0.12,-20.94,11.38,IM
6.04,0.04,-17.5,11.53,IM
4.71,0.04,-15.83,12.71,IM
5.79,0.22,-11.75,11.53,IM
6.53,0.23,-13.44,13.38,IM
6.05,0.22,-12.34,12.57,IM
6.31,0.23,-12.94,13.15,IM
8.62,0.14,-4,13.38,IM
8.67,0.12,-4.64,13.38,IM
5.16,0.33,-4.46,12.47,IM
5.28,0.33,-4.59,12.83,IM
4.96,0.34,-4.25,11.53,IM
16.19,0.06,-18,4.68,IM
8.77,0.12,-5,11.53,IM
8.67,0.12,-4.64,13.38,IM
5.79,0.22,-11.75,11.53,IM
6.53,0.23,-13.44,13.38,IM
6.05,0.22,-12.34,12.57,IM
6.24,0.22,-12.77,13.01,IM
6.31,0.23,-12.94,13.15,IM
5.92,0.18,-4.35,13.15,IM
6.21,0.17,-4.8,12.95,IM
6.36,0.16,-5.02,12.6,IM
4.65,0.32,-4.89,14.9,IM
5.81,0.25,-5.74,11.07,IM
8.62,0.14,-4,13.38,IM
6.84,0.27,-2.72,13.38,IM
8.67,0.12,-4.64,13.38,IM
6.85,0.12,-5.99,12.68,IM
6.01,0.08,-14.99,10.51,IM
6.22,0.09,-15.31,11.31,IM
4.65,0.32,-4.89,14.9,IM
6.06,0.11,-21.55,13.25,IM
0.32,0.09,-1,5.76,IM
6.29,0.04,-13.75,13.25,IM
5.9,0.04,-14.56,13.38,IM
5.92,0.25,-5.5,11.53,IM
7.55,0.34,-5.55,16.18,IM
5.74,0.28,-4.28,12.32,IM
5.95,0.26,-3.8,13.97,IM
7.72,0.1,-14,12.97,IM
7.61,0.15,-13.5,13.84,IM
7.49,0.19,-12.99,14.25,IM
8.03,0.22,-4.92,14.53,IM
8.62,0.14,-4,13.38,IM
8.77,0.12,-5,11.53,IM
5.5,0.12,-7.93,14.7,AM
6.97,0.14,-17.18,16.01,AM
6.35,0.12,-22.58,16.01,AM
