a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
1.2033,0.1083,1857.5,515.29,-18.75,2.7063,0.5623,1.5775,0.013,2.75,1.299,1.40E+11,17.3205,IM
1.2073,0.0636,1852.33,233.82,-42.6667,2.5142,0.6365,1.81,0.1273,4.3333,0.4714,1.20E+11,28.2843,IM
1.2096,0.107,1699.8,656.91,-28.9532,9.0459,1.1734,1.9415,0.1485,8.23,2.4814,1.66E+11,71.5625,AM
1.211666667,0.034236807,1769.666667,58.45416058,-31.11111111,1.833239803,0.636514168,1.853333333,0.032998316,6.666666667,1.885618083,1.47E+11,32.99831646,IM
1.2157,0.1038,1448.75,230.92,-6.5556,3.2241,0.8676,1.5733,0.018,3,1.8257,1.19E+11,19.7203,IM
1.223,0.0809,2090,569.93,-31.1111,1.8332,0.6365,1.9867,0.1226,4.6667,0.9428,1.43E+11,61.2826,IM
1.225,0.0339,2056.75,213.48,-27.75,4.0054,0.5623,1.72,0.1039,5.5,0.866,1.45E+11,25.9808,IM
1.2338,0.1061,1859.07,141.48,-10.8556,5.6571,0.4223,1.8176,0.1224,7.5,1.4318,1.74E+11,42.7243,SS
1.2393,0.127,1687,179.61,-26.6667,1.5713,0.6365,1.56,0.0141,2.6667,0.9428,1.23E+11,9.4281,IM
1.245,0.0032,1995.5,184.5,-1,0,0.6931,1.745,0.085,7,1,1.65E+11,5,IM
1.246,0.0033,1769,33.89,-1.3333,0.5092,1.0986,1.8733,0.033,9,0.8165,1.77E+11,4.714,SS
1.2468,0.003,1871.75,180.37,-3.75,1.637,1.3863,1.82,0.0967,8.25,1.479,1.73E+11,8.2916,SS
1.2472,0.0028,1933.4,203.05,-4.32,1.6933,1.3322,1.788,0.1076,7.8,1.6,1.70E+11,8.9443,SS
1.248,0.0428,1436.79,140.61,-13.8624,2.1942,0.5511,1.9,0,9.32,2.9896,1.30E+11,17.0833,IM
1.2495,0.1018,1854.67,129.08,-10.7276,5.5826,0.4186,1.8034,0.1362,7.52,1.3746,1.69E+11,39.8434,SS
1.2496,0.0147,1896.73,238.13,-3.9024,1.6945,1.4671,1.8283,0.109,8.1951,1.5015,1.74E+11,12.0726,SS
1.2502,0.0084,1814.64,234.54,0.4938,3.5345,1.5811,1.8289,0.0946,8.5556,1.6405,1.69E+11,12.862,SS
1.253,0.0103,1768.95,261.33,3.2,4.0517,1.6094,1.836,0.0922,8.8,1.7205,1.66E+11,14.9666,SS
1.254,0.0114,1666.19,180.47,5,3.3166,1.3863,1.88,0.0308,9.5,1.118,1.68E+11,16.3936,SS
1.2549,0.0238,1943.21,313.61,-4.1536,1.7881,1.5426,1.8437,0.1273,8.093,1.5373,1.77E+11,16.6892,SS
1.2562,0.0845,1870.39,189.87,-7.6132,4.7266,0.3502,1.7971,0.1395,7.62,1.2147,1.69E+11,26.4681,SS
1.2576,0.0348,1816.56,281.71,-6.7543,3.6817,1.5285,1.8076,0.106,7.9412,1.8934,1.67E+11,24.0886,SS
1.2584,0.0259,1786.78,161.75,-3.5062,1.7924,1.523,1.8144,0.118,8.4444,1.2571,1.69E+11,18.5259,SS
1.2589,0.0294,1729.13,302.08,0.1183,5.0513,1.444,1.8331,0.104,8.7692,2.0996,1.63E+11,22.6923,SS
1.2593,0.0374,1754.68,284.92,-2.5778,4.4461,1.5227,1.8147,0.0914,8,1.8619,1.63E+11,25.3179,SS
1.2597,0.0376,1806.29,295.64,-7.2688,3.9105,1.5426,1.8053,0.1075,7.8837,1.9554,1.66E+11,25.8518,SS
1.2606,0.0384,1750.66,294.51,-2.8367,4.6036,1.5741,1.8136,0.0945,8,1.9272,1.63E+11,26.1362,SS
1.2607,0.0325,1747.74,307.07,-0.71,4.9407,1.7219,1.8215,0.1032,8.4,2.0591,1.63E+11,24.1859,SS
1.2626,0.0412,1791.33,314.23,-7.9935,4.2051,1.56,1.802,0.1096,7.8,2.0396,1.64E+11,28.1537,SS
1.2631,0.0342,1721.66,318.91,0.1566,5.188,1.7359,1.8232,0.1037,8.4717,2.1422,1.61E+11,25.3744,SS
1.2632,0.134,1781.76,218.07,-6.0069,6.0755,0.5783,1.7612,0.2321,7.1176,1.9061,1.63E+11,59.2374,IM
1.2632,0.0635,1659.44,368.73,-22.5799,11.8234,1.9251,1.8062,0.1176,7,2.7175,1.44E+11,39.4032,AM
1.2637,0.036,2074.41,402.19,-1.3698,0.3564,0.9251,1.8517,0.1558,7.2414,0.9704,1.78E+11,23.9351,IM
1.2638,0.0408,1740.6,316.99,-3.5278,4.9752,1.6762,1.8108,0.1019,8,2.0817,1.61E+11,28.0397,SS
