Random Seed,Accuracy
0,0.8899082568807339
5,0.908256880733945
10,0.981651376146789
15,0.9174311926605505
20,0.9541284403669725
25,0.963302752293578
30,0.926605504587156
35,0.9174311926605505
40,0.9174311926605505
45,0.926605504587156

Mean Accuracy,0.9302752293577983
Confidence Interval Lower Bound,0.9104170866524547
Confidence Interval Upper Bound,0.9501333720631419
